OTIME	DIFF_MAG
61152.9010081599	7.894
61152.9013752197	7.895
61152.9017421296	7.893000000000001
61152.9021092709	7.898
61152.9024763657	7.897
61152.9028434493	7.892999999999999
61152.9032097571	7.892000000000001
61152.9035763773	7.890999999999998
61152.9039439238	7.8870000000000005
61152.9043104863	7.892999999999999
61152.9046774651	7.894
61152.9050440276	7.883000000000001
61152.9054110069	7.892000000000001
61152.9057773957	7.894
61152.9061434837	7.9
61152.9065098609	7.896000000000001
61152.9068764234	7.894
61152.9072433566	7.894
61152.9076094562	7.898999999999999
61152.9079760881	7.902000000000001
61152.9083414585	7.901
61152.9087084723	7.898999999999999
61152.9090753123	7.895999999999999
61152.9094421645	7.894
61152.9098084955	7.892999999999999
61152.9101750692	7.893000000000001
61152.9105415973	7.894
61152.9109081714	7.890000000000001
61152.9112743172	7.892999999999999
61152.911640903	7.898
61152.9120076736	7.9
61152.9123755442	7.893999999999998
61152.9127430557	7.894
61152.9131098613	7.8919999999999995
61152.9134775116	7.895999999999999
61152.9138442362	7.894
61152.9142104979	7.895
61152.9145764005	7.888
61152.9149421989	7.889000000000001
61152.9153089351	7.893000000000001
61152.9156759954	7.895999999999999
61152.9160426157	7.889000000000001
61152.9164093169	7.895
61152.9167749537	7.895
61152.9171433449	7.894
61152.9175105789	7.897
61152.9178766436	7.895999999999999
61152.918244109	7.889999999999999
61152.9186118287	7.898
61152.9191785301	7.898
61152.9195483797	7.894
61152.9199162037	7.893000000000001
61152.9202832174	7.891
61152.9206490396	7.896000000000001
61152.9210158219	7.888999999999999
61152.9213820025	7.888999999999999
61152.9217489003	7.888999999999999
61152.9221153357	7.891
61152.922482118	7.9030000000000005
61152.9228488076	7.895999999999999
61152.9232148379	7.8870000000000005
61152.9235810647	7.8919999999999995
61152.9239474535	7.894
61152.9243138428	7.893000000000001
61152.9246807061	7.888
61152.9250473031	7.888999999999999
61152.9254142707	7.895
61152.9257809836	7.890999999999998
61152.9261465739	7.898
61152.9265137035	7.886999999999999
61152.9268816435	7.891
61152.9272484723	7.888999999999999
61152.9276153357	7.893999999999998
61152.9279823033	7.893000000000001
61152.9283488193	7.895
61152.9287143401	7.892000000000001
61152.9290806018	7.891
61152.9294484952	7.898999999999999
61152.9298151503	7.893999999999998
61152.9301826735	7.900999999999998
61152.9305489701	7.894
61152.9309171066	7.893000000000001
61152.9312834376	7.898999999999999
61152.9316489701	7.892999999999999
61152.9320153818	7.892999999999999
61152.9323817939	7.891
61152.9329490508	7.896000000000001
61152.9333199537	7.885999999999999
61152.9336876734	7.891
61152.9340546643	7.885999999999999
61152.9344231714	7.894
61152.9347900348	7.896000000000001
61152.9351561111	7.895999999999999
61152.9355224073	7.885
61152.9358887267	7.905000000000001
61152.9362568171	7.898
61152.9366233796	7.8969999999999985
61152.9369902662	7.8919999999999995
61152.9373570601	7.893000000000001
61152.9377243402	7.888999999999999
61152.9380899305	7.890000000000001
61152.9386460301	7.893000000000001
61152.9390159375	7.902000000000001
61152.9393830788	7.888
61152.939750162	7.895999999999999
61152.9401167822	7.8919999999999995
61152.9404829512	7.888999999999999
61152.9408493866	7.891
61152.9412151389	7.896000000000001
61152.9415819095	7.901999999999999
61152.9419476851	7.888
61152.942314398	7.8969999999999985
61152.9426813773	7.893000000000001
61152.9430483566	7.888
61152.9434147687	7.8919999999999995
61152.9437810881	7.892999999999999
61152.944147361	7.885
61152.944513727	7.8870000000000005
61152.9448810187	7.9
61152.9452471645	7.898
61152.9456138774	7.895
61152.9459811226	7.8919999999999995
61152.9463481829	7.903999999999998
61152.9467151738	7.894
61152.9472845253	7.899999999999999
61152.9476564005	7.897
61152.9480230901	7.895
61152.9483904978	7.890999999999998
61152.9487575232	7.892000000000001
61152.949124896	7.892999999999999
61152.9494914813	7.884
61152.9498582291	7.896000000000001
61152.9502240857	7.902000000000001
61152.9505911805	7.899000000000001
61152.9509586459	7.898
61152.9513260648	7.898999999999999
61152.9516919097	7.901999999999999
61152.9520578934	7.898
61152.9524255325	7.898999999999999
61152.9527939581	7.897
61152.9531609952	7.897
61152.9535272685	7.888999999999999
61152.9538943288	7.899000000000001
61152.9542605672	7.895
61152.9546269444	7.898
61152.9549947917	7.891
61152.9553627432	7.902999999999999
61152.9559219098	7.893999999999998
61152.9562918521	7.892999999999999
61152.9566577547	7.892999999999999
61152.9570244099	7.892999999999999
61152.957391331	7.899000000000001
61152.9577580672	7.889999999999999
61152.958124653	7.897
61152.9584917361	7.895
61152.9588580094	7.893000000000001
61152.9592251736	7.901
61152.9595916318	7.905000000000001
61152.9599599419	7.9
61152.9603265044	7.901
61152.9606920835	7.899999999999999
61152.9610588425	7.8919999999999995
61152.9614253473	7.898
61152.9617920252	7.892999999999999
61152.962159514	7.890000000000001
61152.9625264816	7.895
61152.9628933216	7.886999999999999
61152.9634490162	7.900999999999998
61152.963819236	7.888999999999999
61152.9641859606	7.901
61152.9645515163	7.893000000000001
61152.9649190856	7.895
61152.9652855787	7.889999999999999
61152.965653264	7.900999999999998
61152.9660197338	7.893000000000001
61152.966386389	7.8969999999999985
61152.9667527545	7.888
61152.9671196989	7.891
61152.9674867014	7.893000000000001
61152.967853148	7.894
61152.9682209953	7.892999999999999
61152.9685883103	7.889999999999999
61152.9689555904	7.889000000000001
61152.9693226158	7.895
61152.9696893864	7.898999999999999
61152.9702430442	7.8969999999999985
61152.9706143173	7.8870000000000005
61152.9709829977	7.891
61152.9713506945	7.898
61152.9717194908	7.885
61152.9720863542	7.899000000000001
61152.9724541781	7.8919999999999995
61152.9728205325	7.890999999999998
61152.9731881483	7.891
61152.9735550927	7.8919999999999995
61152.9739222801	7.895999999999999
61152.9742889581	7.890000000000001
61152.9746567709	7.898
61152.9750231714	7.894
61152.9753905553	7.891
61152.9759448264	7.892000000000001
61152.9763150695	7.893000000000001
61152.9766815277	7.892999999999999
61152.9770469214	7.898
61152.9774149191	7.898
61152.9777806713	7.8870000000000005
61152.9781475463	7.895
61152.9785145717	7.893000000000001
61152.9788824539	7.894
61152.9792495947	7.892999999999999
61152.9796155207	7.884
61152.9799824655	7.892999999999999
61152.9803488543	7.888
61152.9807160185	7.890000000000001
61152.9810830555	7.8919999999999995
61152.9816381829	7.894
61152.9820081252	7.888
61152.982374398	7.888999999999999
61152.982740486	7.895999999999999
61152.9831076041	7.890000000000001
61152.9834744791	7.8919999999999995
61152.9838407175	7.8919999999999995
61152.9842082523	7.896000000000001
61152.9845748842	7.896000000000001
61152.9849418402	7.894
61152.9853089815	7.896000000000001
61152.985676609	7.886999999999999
61152.9860428935	7.896000000000001
61152.9864090858	7.895
61152.9867770835	7.8919999999999995
61152.9873442245	7.888
61152.987715648	7.890000000000001
61152.9880822455	7.893000000000001
61152.9884503474	7.893000000000001
61152.9888174655	7.889999999999999
61152.9891852429	7.894
61152.9895520834	7.889999999999999
61152.98991956	7.897
61152.9902853933	7.890000000000001
61152.9906530441	7.885999999999999
61152.9910189584	7.891
61152.9913853705	7.895999999999999
61152.991752014	7.892999999999999
61152.9923193748	7.8969999999999985
61152.9926904631	7.895000000000001
61152.9930573958	7.892000000000001
61152.9934240044	7.8919999999999995
61152.9937903937	7.893000000000001
61152.9941583332	7.895
61152.9945244677	7.892999999999999
61152.9948909492	7.891
61152.9952571411	7.888999999999999
61152.9956241436	7.890999999999998
61152.9959920486	7.893000000000001
61152.9963595835	7.893000000000001
61152.9967269213	7.895999999999999
61152.9972928357	7.894
61152.9976636688	7.8919999999999995
61152.998030162	7.894
61152.9983969792	7.895
61152.9987630788	7.889999999999999
61152.999129456	7.891
61152.9994948958	7.898
61152.9998596064	7.888999999999999
61153.0002263775	7.889000000000001
61153.0005928124	7.894
61153.0009609489	7.8870000000000005
61153.0013269442	7.892999999999999
61153.0016946993	7.893999999999998
61153.0022487151	7.8919999999999995
61153.0026178588	7.888
61153.0029845601	7.888
61153.0033508334	7.885999999999999
61153.003717639	7.8919999999999995
61153.0040842476	7.894
61153.0044511803	7.885999999999999
61153.0048196991	7.888999999999999
61153.0051847915	7.888999999999999
61153.0055496297	7.895
61153.0059157521	7.8870000000000005
61153.0062820138	7.894
61153.0068481946	7.891
61153.0072197453	7.888999999999999
61153.0075862734	7.891
61153.0079530557	7.888
61153.0083199423	7.895
61153.0086866203	7.889999999999999
61153.0090527199	7.888999999999999
61153.0094190971	7.8919999999999995
61153.0097846529	7.889000000000001
61153.0101517709	7.888
61153.0105183101	7.8919999999999995
61153.01088522	7.890999999999998
61153.0114516201	7.888999999999999
61153.0118220025	7.888999999999999
61153.012189595	7.885999999999999
61153.0125557058	7.8919999999999995
61153.0129210535	7.888
61153.0132877314	7.888
61153.0138424537	7.8919999999999995
61153.0142132407	7.886999999999999
61153.0145792477	7.885
61153.0149465855	7.892000000000001
61153.0153134027	7.890000000000001
61153.0156805557	7.890000000000001
61153.0160467941	7.890000000000001
61153.0164143401	7.885999999999999
61153.0167806367	7.888
61153.0173239005	7.885999999999999
61153.0176943289	7.897
61153.0180608798	7.894
61153.018426551	7.8919999999999995
61153.0187928937	7.888
61153.019160382	7.891
61153.0195265971	7.8870000000000005
61153.0198929398	7.892999999999999
61153.0202596644	7.889999999999999
61153.0206257985	7.8919999999999995
61153.0209917245	7.883000000000001
61153.021558044	7.891
61153.0219285996	7.890000000000001
61153.022294919	7.888
61153.0226619099	7.886999999999999
61153.0230279053	7.8919999999999995
61153.023394838	7.885999999999999
61153.0239493982	7.891
61153.0243197684	7.883000000000001
61153.024685822	7.886999999999999
61153.0250523263	7.882999999999999
61153.0254204399	7.8870000000000005
61153.0257871179	7.885
61153.0261524539	7.890000000000001
61153.0265179281	7.886999999999999
61153.0268835649	7.8969999999999985
61153.0274485648	7.888
61153.0278195832	7.887999999999998
61153.0281874654	7.892999999999999
61153.028554352	7.890000000000001
61153.028921227	7.888
61153.0292879282	7.8870000000000005
61153.0296546989	7.892000000000001
61153.030021389	7.886999999999999
61153.0303875464	7.888
61153.0307544558	7.888
61153.0311206132	7.8870000000000005
61153.0316885877	7.886999999999999
61153.0320586688	7.882
61153.0324265971	7.887999999999998
61153.0327935414	7.877999999999998
61153.0331592131	7.889000000000001
61153.0335264467	7.892000000000001
61153.033893588	7.889999999999999
61153.0342599768	7.888999999999999
61153.0346272569	7.8919999999999995
61153.0349948034	7.893000000000001
61153.0353615857	7.885999999999999
61153.0359286456	7.891
61153.0362999188	7.886000000000001
61153.036666933	7.886999999999999
61153.0370333795	7.885999999999999
61153.0374007639	7.885999999999999
61153.0379562965	7.8919999999999995
61153.0383265973	7.885
61153.0386934839	7.886000000000001
61153.0390606364	7.881
61153.0394276273	7.885999999999999
61153.0397946294	7.888999999999999
61153.0401609028	7.885
61153.040527639	7.888
61153.040893889	7.885
61153.0414612154	7.885999999999999
61153.0418315395	7.893000000000001
61153.0421962733	7.885999999999999
61153.0425631017	7.8870000000000005
61153.0429288424	7.886000000000001
61153.0432955092	7.882999999999999
61153.0436630901	7.889000000000001
61153.0442175576	7.892000000000001
61153.0445880322	7.885
61153.044953947	7.8809999999999985
61153.0453207525	7.886999999999999
61153.0456874766	7.881
61153.0460537383	7.882
61153.0464203702	7.888
61153.0467866668	7.889000000000001
61153.0471524885	7.8919999999999995
61153.0477197799	7.884
61153.0480896295	7.891
61153.0484563657	7.886000000000001
61153.0488241552	7.8870000000000005
61153.0491907638	7.882
61153.0495565278	7.884
61153.0499230209	7.885
61153.050487801	7.890000000000001
61153.0510464585	7.888
61153.0516270488	7.879
61153.0522066434	7.885999999999999
61153.0527770948	7.879999999999999
61153.0533353821	7.885
61153.0539050233	7.882
61153.0544623728	7.882
61153.0550324768	7.879999999999999
61153.0555909723	7.886000000000001
61153.0561602199	7.8809999999999985
61153.0567281828	7.8809999999999985
61153.057297037	7.8870000000000005
61153.0578666781	7.8870000000000005
61153.0584252547	7.886999999999999
61153.0589941321	7.882
61153.0595650463	7.885999999999999
61153.0601251619	7.889999999999999
61153.0606829859	7.888
61153.061251794	7.888999999999999
61153.0618199306	7.878
61153.0623885416	7.8870000000000005
61153.0629479862	7.885
61153.0635065855	7.895
61153.064065787	7.888
61153.0646335301	7.879
61153.0651933332	7.881
61153.0658663544	7.879999999999999
61153.0664359373	7.8870000000000005
61153.0670053819	7.891
61153.0675745951	7.879
61153.0681432523	7.886999999999999
61153.0687122107	7.888999999999999
61153.0692805094	7.882999999999999
61153.0698491437	7.885999999999999
61153.0704170601	7.884
61153.0709858448	7.888
61153.0715536689	7.885999999999999
61153.0721137268	7.883999999999999
61153.0726734838	7.8870000000000005
61153.0732421642	7.882
61153.0738003473	7.878
61153.0743696992	7.882999999999999
61153.0749383913	7.885
