# spectrum_id category
367 Grozd_107
368 Grozd_96
369 Grozd_57
370 Grozd_108
371 Grozd_80
372 Grozd_120
373 Šum
374 Grozd_54
375 Grozd_80
376 Šum
377 Grozd_12
378 Grozd_66
379 Grozd_8
380 Grozd_18
381 Grozd_31
382 Grozd_141
383 Grozd_125
384 Grozd_39
385 Grozd_103
386 Grozd_61
387 Grozd_109
388 Grozd_27
389 Grozd_11
390 Grozd_62
391 Grozd_39
392 Grozd_26
393 Grozd_48
394 Grozd_116
395 Grozd_34
396 Grozd_1
397 Šum
398 Grozd_11
399 Šum
400 Grozd_74
401 Grozd_30
402 Grozd_37
403 Grozd_110
404 Grozd_116
405 Grozd_77
406 Grozd_48
407 Šum
408 Grozd_111
409 Grozd_94
410 Grozd_79
411 Grozd_115
412 Grozd_99
413 Grozd_58
414 Grozd_112
415 Grozd_80
416 Grozd_7
417 Grozd_163
418 Grozd_68
419 Grozd_106
420 Grozd_35
421 Grozd_51
422 Grozd_113
423 Grozd_57
424 Grozd_150
425 Grozd_114
426 Grozd_85
427 Grozd_115
428 Grozd_108
429 Grozd_136
430 Grozd_20
431 Grozd_130
432 Šum
433 Grozd_116
434 Grozd_91
435 Grozd_68
436 Šum
437 Grozd_92
438 Grozd_43
439 Grozd_117
440 Grozd_118
441 Grozd_19
442 Grozd_91
443 Grozd_25
444 Grozd_25
445 Grozd_35
446 Grozd_119
447 Grozd_125
448 Grozd_102
449 Grozd_102
450 Grozd_69
451 Grozd_2
452 Grozd_34
453 Šum
454 Grozd_116
455 Grozd_36
456 Grozd_100
457 Grozd_99
458 Grozd_120
459 Grozd_120
460 Grozd_82
461 Grozd_120
462 Grozd_121
463 Grozd_64
464 Grozd_61
465 Grozd_8
466 Grozd_122
467 Grozd_60
468 Šum
469 Grozd_37
470 Grozd_123
471 Šum
472 Grozd_124
473 Grozd_34
474 Grozd_11
475 Šum
476 Grozd_125
477 Grozd_146
478 Grozd_64
479 Grozd_34
480 Grozd_126
481 Grozd_12
482 Grozd_15
483 Šum
484 Grozd_130
485 Šum
486 Grozd_111
487 Grozd_37
488 Grozd_31
489 Šum
490 Grozd_61
491 Grozd_7
492 Šum
493 Grozd_127
494 Grozd_123
495 Šum
496 Grozd_106
497 Grozd_8
498 Grozd_118
499 Grozd_41
500 Grozd_2
501 Grozd_202
502 Grozd_31
503 Grozd_37
504 Grozd_128
505 Grozd_103
506 Grozd_7
507 Grozd_163
508 Grozd_188
509 Grozd_188
510 Šum
511 Grozd_138
512 Grozd_37
513 Grozd_37
514 Grozd_120
515 Grozd_120
516 Grozd_11
517 Grozd_106
518 Grozd_11
519 Grozd_129
520 Grozd_25
521 Grozd_64
522 Grozd_106
523 Grozd_1
524 Grozd_45
525 Grozd_3
526 Grozd_130
527 Grozd_198
528 Grozd_77
529 Grozd_3
530 Grozd_56
531 Grozd_185
532 Grozd_77
533 Grozd_101
534 Grozd_65
535 Grozd_54
536 Grozd_40
537 Grozd_71
538 Grozd_106
539 Grozd_21
540 Grozd_65
541 Grozd_98
542 Šum
543 Grozd_60
544 Grozd_77
545 Grozd_48
546 Grozd_141
547 Grozd_90
548 Grozd_131
549 Grozd_34
550 Grozd_40
551 Grozd_120
552 Grozd_132
553 Šum
554 Grozd_37
555 Grozd_96
556 Grozd_35
557 Grozd_69
558 Grozd_133
559 Grozd_11
560 Grozd_120
561 Grozd_25
562 Grozd_40
563 Grozd_83
564 Grozd_35
565 Grozd_75
566 Grozd_202
567 Grozd_54
568 Grozd_73
569 Grozd_37
570 Grozd_31
571 Grozd_11
572 Grozd_130
573 Grozd_8
574 Grozd_134
575 Grozd_10
576 Grozd_39
577 Grozd_76
578 Grozd_35
579 Grozd_130
580 Grozd_14
581 Grozd_120
582 Grozd_31
583 Šum
584 Šum
585 Šum
586 Grozd_132
587 Grozd_132
588 Grozd_35
589 Grozd_37
590 Grozd_133
591 Grozd_177
592 Grozd_135
593 Šum
594 Grozd_86
595 Grozd_35
596 Grozd_13
597 Grozd_98
598 Grozd_142
599 Grozd_34
600 Grozd_35
601 Grozd_34
602 Grozd_132
603 Grozd_47
604 Grozd_132
605 Grozd_200
606 Grozd_132
607 Grozd_132
608 Grozd_132
609 Grozd_132
610 Šum
611 Šum
612 Grozd_132
613 Grozd_158
614 Grozd_132
615 Šum
616 Grozd_29
617 Grozd_132
618 Grozd_132
619 Grozd_132
620 Grozd_37
621 Grozd_132
622 Grozd_200
623 Grozd_132
624 Grozd_132
625 Grozd_132
626 Grozd_132
627 Grozd_132
628 Grozd_132
629 Šum
630 Grozd_132
631 Grozd_113
632 Grozd_89
633 Grozd_194
634 Šum
635 Grozd_62
636 Grozd_65
637 Grozd_136
638 Grozd_38
639 Grozd_113
640 Grozd_25
641 Šum
642 Grozd_8
643 Grozd_87
644 Grozd_103
645 Grozd_137
646 Grozd_11
647 Grozd_96
648 Grozd_56
649 Grozd_41
650 Šum
651 Šum
652 Grozd_77
653 Grozd_27
654 Grozd_14
655 Grozd_70
656 Grozd_7
657 Grozd_138
658 Grozd_125
659 Grozd_96
660 Grozd_96
661 Grozd_137
662 Grozd_120
663 Šum
664 Grozd_49
665 Grozd_65
666 Grozd_107
667 Grozd_43
668 Grozd_139
669 Grozd_7
670 Grozd_12
671 Grozd_70
672 Grozd_34
673 Grozd_72
674 Grozd_140
675 Grozd_40
676 Šum
677 Grozd_92
678 Grozd_110
679 Grozd_20
680 Grozd_65
681 Grozd_141
682 Grozd_35
683 Grozd_48
684 Šum
685 Šum
686 Grozd_135
687 Grozd_77
688 Grozd_147
689 Grozd_11
690 Grozd_77
691 Grozd_137
692 Šum
693 Grozd_120
694 Grozd_7
695 Grozd_142
696 Grozd_43
697 Grozd_141
698 Grozd_37
699 Grozd_60
700 Grozd_141
701 Grozd_91
702 Grozd_56
703 Grozd_143
704 Šum
705 Grozd_37
706 Grozd_111
707 Grozd_37
708 Grozd_14
709 Grozd_36
710 Grozd_132
711 Grozd_89
712 Grozd_7
713 Grozd_47
714 Grozd_144
715 Grozd_27
716 Grozd_7
717 Grozd_79
718 Grozd_97
719 Grozd_39
720 Grozd_100
721 Šum
722 Grozd_32
723 Grozd_39
724 Grozd_37
725 Grozd_7
726 Grozd_39
727 Grozd_97
728 Grozd_131
729 Grozd_66
730 Grozd_11
731 Grozd_127
732 Grozd_80
733 Grozd_11
734 Grozd_61
735 Grozd_22
736 Grozd_7
737 Grozd_89
738 Grozd_26
739 Grozd_103
740 Grozd_11
741 Grozd_145
742 Grozd_145
743 Grozd_37
744 Grozd_116
745 Grozd_109
746 Grozd_36
747 Grozd_11
748 Grozd_106
749 Grozd_92
750 Grozd_82
751 Grozd_146
752 Grozd_1
753 Grozd_37
754 Šum
755 Grozd_117
756 Šum
757 Grozd_13
758 Grozd_147
759 Grozd_148
760 Grozd_36
761 Grozd_120
762 Grozd_120
763 Grozd_120
764 Grozd_120
765 Grozd_7
766 Grozd_106
767 Grozd_8
768 Grozd_180
769 Grozd_37
770 Grozd_120
771 Grozd_28
772 Grozd_106
773 Grozd_106
774 Grozd_52
775 Grozd_37
776 Grozd_107
777 Grozd_148
778 Grozd_12
779 Grozd_35
780 Grozd_48
781 Grozd_149
782 Grozd_3
783 Grozd_60
784 Grozd_90
785 Grozd_3
786 Grozd_150
787 Grozd_90
788 Šum
789 Grozd_27
790 Grozd_131
791 Grozd_99
792 Grozd_99
793 Grozd_99
794 Grozd_102
795 Grozd_37
796 Grozd_100
797 Grozd_39
798 Grozd_53
799 Šum
800 Grozd_125
801 Grozd_29
802 Grozd_20
803 Grozd_169
804 Grozd_70
805 Grozd_37
806 Grozd_37
807 Grozd_37
808 Grozd_37
809 Grozd_136
810 Grozd_98
811 Grozd_137
812 Grozd_151
813 Grozd_82
814 Grozd_56
815 Grozd_145
816 Grozd_37
817 Grozd_10
818 Grozd_7
819 Grozd_16
820 Grozd_99
821 Šum
822 Grozd_152
823 Grozd_152
824 Grozd_90
825 Grozd_46
826 Grozd_41
827 Grozd_82
828 Grozd_47
829 Grozd_56
830 Grozd_40
831 Grozd_34
832 Grozd_0
833 Grozd_2
834 Grozd_12
835 Grozd_7
836 Grozd_70
837 Grozd_94
838 Grozd_137
839 Grozd_56
840 Grozd_195
841 Grozd_66
842 Grozd_82
843 Grozd_40
844 Šum
845 Grozd_12
846 Grozd_115
847 Grozd_65
848 Grozd_105
849 Grozd_85
850 Grozd_60
851 Grozd_132
852 Šum
853 Grozd_21
854 Grozd_33
855 Grozd_120
856 Grozd_132
857 Grozd_132
858 Grozd_132
859 Grozd_73
860 Grozd_132
861 Grozd_23
862 Šum
863 Grozd_120
864 Grozd_86
865 Grozd_91
866 Šum
867 Grozd_2
868 Grozd_12
869 Grozd_49
870 Grozd_90
871 Grozd_3
872 Grozd_74
873 Grozd_99
874 Grozd_153
875 Grozd_37
876 Grozd_8
877 Grozd_46
878 Grozd_41
879 Grozd_148
880 Grozd_154
881 Grozd_80
882 Grozd_133
883 Šum
884 Grozd_112
885 Grozd_43
886 Grozd_11
887 Grozd_56
888 Grozd_1
889 Grozd_14
890 Šum
891 Grozd_155
892 Grozd_56
893 Grozd_70
894 Grozd_58
895 Šum
896 Grozd_106
897 Grozd_120
898 Grozd_107
899 Grozd_42
900 Grozd_103
901 Grozd_114
902 Grozd_40
903 Grozd_115
904 Šum
905 Grozd_156
906 Šum
907 Grozd_20
908 Grozd_3
909 Grozd_130
910 Grozd_35
911 Grozd_120
912 Grozd_61
913 Grozd_27
914 Grozd_108
915 Grozd_122
916 Grozd_35
917 Grozd_56
918 Grozd_56
919 Grozd_37
920 Grozd_54
921 Grozd_138
922 Grozd_65
923 Grozd_143
924 Grozd_125
925 Grozd_173
926 Grozd_135
927 Grozd_198
928 Grozd_3
929 Grozd_9
930 Grozd_176
931 Grozd_43
932 Grozd_119
933 Grozd_94
934 Grozd_130
935 Grozd_126
936 Grozd_82
937 Grozd_119
938 Grozd_34
939 Grozd_40
940 Grozd_56
941 Grozd_55
942 Grozd_60
943 Grozd_34
944 Grozd_130
945 Grozd_189
946 Grozd_56
947 Grozd_82
948 Grozd_72
949 Grozd_20
950 Grozd_125
951 Grozd_82
952 Grozd_94
953 Grozd_99
954 Šum
955 Šum
956 Grozd_37
957 Grozd_157
958 Grozd_111
959 Grozd_130
960 Grozd_158
961 Grozd_157
962 Grozd_135
963 Grozd_26
964 Grozd_96
965 Grozd_159
966 Grozd_34
967 Grozd_3
968 Grozd_87
969 Grozd_113
970 Grozd_145
971 Grozd_99
972 Grozd_34
973 Grozd_74
974 Grozd_64
975 Grozd_29
976 Grozd_34
977 Grozd_112
978 Grozd_31
979 Grozd_29
980 Grozd_102
981 Grozd_47
982 Grozd_37
983 Grozd_119
984 Grozd_77
985 Grozd_49
986 Grozd_108
987 Grozd_106
988 Grozd_104
989 Grozd_20
990 Grozd_56
991 Grozd_166
992 Grozd_17
993 Grozd_180
994 Grozd_32
995 Šum
996 Šum
997 Grozd_66
998 Grozd_23
999 Grozd_160
1000 Grozd_122
1001 Grozd_37
1002 Šum
1003 Šum
1004 Grozd_130
1005 Grozd_41
1006 Grozd_81
